MADCOWS_Cluster,ACT name,SZMass_M500,SZMass_M500_errPlus,SZMass_M500_errMinus,MADCOWS_Richness,MADCOWS_e_Richness,RADeg,decDeg,SNR,SZMass_redshift,SZMass_redshiftErr,MADCOWS_SNR,MADCOWS_Photz,MADCOWS_dPhotzHigh,MADCOWS_dPhotzLow
MOO J1322-0228,ACT-CL J1322.9-0227,2.691293089,0.525400852,0.439584153,83,9,38.646088,-1.131842911,5.789145024,0.535879068,0,9.2,1.19,0.09,0.08
MOO J1346-0142,ACT-CL J1346.2-0142,2.374310722,0.438230587,0.369948551,74,8,44.13296247,0.104866724,10.73482614,0.3625,0,9.1,nan,nan,nan
MOO J1354+1329,ACT-CL J1354.8+1330,1.826447363,0.297260179,0.255651995,44,6,45.05445043,1.418885499,8.553812188,0.938032866,0.034002647,9.7,1.33,0.04,0.06
MOO J1355+1606,ACT-CL J1355.8+1607,2.440612043,0.478471501,0.400044497,48,7,45.91645746,18.96446368,8.720953376,1.21,0.07,10.1,1.21,0.06,0.07
MOO J1414+0227,ACT-CL J1414.5+0227,2.645362839,0.468900516,0.398300291,41,7,72.11494,-17.08893722,5.55528027,0.96,0.05,13.5,0.96,0.04,0.05
MOO J1418+0723,ACT-CL J1418.2+0723,2.054666188,0.344293788,0.294881454,44,6,143.6014872,17.86557052,7.855082892,0.8666,0.0261324,11.1,0.96,0.04,0.06
MOO J1424-0141,ACT-CL J1424.9-0141,2.18752485,0.509333187,0.413139657,41,7,152.1984794,11.79846081,11.77272674,0.2598924,0,9,nan,nan,nan
MOO J1454+0628,ACT-CL J1454.5+0628,1.957984191,0.447592029,0.364311099,27,5,157.4781366,0.27792818,5.878151139,1.347,0.0190107,9.8,1.46,0.07,0.06
MOO J1455+0439,ACT-CL J1455.5+0439,2.457474663,0.55139822,0.450350416,36,6,163.3175759,10.87855573,12.64795822,0.887,0.026418,8.9,0.99,0.07,0.06
MOO J1514+1346,ACT-CL J1514.7+1346,2.295541183,0.375445159,0.322670996,73,8,175.6920173,15.45613478,19.62410935,1.19,0,9.6,1.12,0.04,0.05
MOO J1521+0452,ACT-CL J1521.1+0451,3.438869074,0.554184439,0.477270771,46,7,178.0923679,16.87750658,8.359095331,1.193,0.030702,9,nan,nan,nan
MOO J1525+1541,ACT-CL J1525.8+1540,3.297424174,0.568476798,0.484882864,52,7,182.0999228,5.030997818,4.691705946,0.8972,0.0265608,10.6,0.9,0.05,0.04
MOO J1536+0953,ACT-CL J1536.5+0954,1.509301062,0.33103226,0.271487418,39,6,197.6722552,17.12220449,4.390673304,1.04,0.02856,10.7,1.01,0.06,0.06
MOO J1620+1340,ACT-CL J1620.1+1339,2.50531239,0.562131856,0.459117034,33,6,200.7391141,-2.462490796,6.254838597,0.793547,0,9.9,0.82,0.04,0.03
MOO J2146-0320,ACT-CL J2146.6-0321,3.122852379,0.59170431,0.497449727,50,7,214.5564937,7.393038903,7.770068051,1.2644,0.0317016,11.4,1.31,0.03,0.04
MOO J2205-2955,ACT-CL J2204.9-2955,3.676389712,0.604234964,0.518943699,52,7,223.8844627,4.659099931,5.65086457,0.8564,0.0259896,9,0.88,0.07,0.06
MOO J2231+1130,ACT-CL J2231.9+1131,3.048494449,0.605183575,0.504942898,48,7,230.2797953,4.86332545,15.56362447,1.312,0,11,1.28,0.03,0.03
MOO J2235+1320,ACT-CL J2235.0+1320,4.569987282,1.002327008,0.822032183,58,8,231.4619259,15.68193284,13.22357085,1.02,0.05,11.9,1.02,0.05,0.04
MOO J2316+0920,ACT-CL J2316.2+0920,2.210234959,0.529671736,0.427276954,49,7,320.4541818,0.675,4.363656613,0.5164132,0,10.4,1.14,0.05,0.04
MOO J2319-1856,ACT-CL J2319.8-1856,2.772166314,0.573282931,0.475044011,47,7,326.6608158,-3.35225946,5.823786852,1.16,0.05,10.6,1.16,0.05,0.05
MOO J2358+1836,ACT-CL J2358.8+1836,1.987869355,0.383173993,0.321250912,36,6,353.1718056,-0.247015055,5.645857552,1.026626945,0.077857569,10,nan,nan,nan
